impl,size,threads,throughput,latency,cycles,l1_misses,llc_misses,cs
A1,64,1,0.073583,6.933046,9249682073,128846171,182348,718563
A1,64,2,0.076157,6.698010,9623879537,127073921,100790,743770
A1,64,4,0.074293,6.866619,9167699808,135325814,144309,725507
A1,64,8,0.074423,6.854533,9443950311,130116033,176669,726777
A1,512,1,0.572926,7.123936,9093511338,156923166,153420,699359
A1,512,2,0.572355,7.130935,9179181331,144646507,165502,698727
A1,512,4,0.591591,6.898859,9259870994,132981215,149539,722153
A1,512,8,0.587251,6.949882,9298202016,144464836,160332,716831
A1,4096,1,4.215354,7.748586,10872591278,270809851,128828,643059
A1,4096,2,4.191250,7.793126,10806161567,276782091,169653,639380
A1,4096,4,4.255973,7.674455,10725986075,284957237,157952,649308
A1,4096,8,4.210347,7.757701,10899546131,274958805,150624,642500
A1,65536,1,24.767470,21.143135,9344738486,587535459,147530,236258
A1,65536,2,24.324971,21.528253,9065794612,590644955,151410,231995
A1,65536,4,24.833635,21.086688,9290247703,605743101,200888,237031
A1,65536,8,24.607143,21.281124,9172237187,598865877,134616,234748
A2,64,1,0.071879,7.097782,9153526169,135646659,187179,701925
A2,64,2,0.071632,7.122110,9338806143,137014858,176244,699580
A2,64,4,0.072761,7.011731,9146334608,133370800,168167,710550
A2,64,8,0.073419,6.948587,9299867083,127175345,151024,716955
A2,512,1,0.584526,6.982460,8939745642,138437661,127657,713517
A2,512,2,0.570515,7.153924,9169113927,152045252,169106,696419
A2,512,4,0.569787,7.162379,9070737133,141688092,156232,695540
A2,512,8,0.573577,7.115861,9035541918,151005520,131806,700124
A2,4096,1,4.173116,7.827125,10283377172,274663792,152184,636701
A2,4096,2,4.163345,7.845782,10560672419,264987761,149282,635160
A2,4096,4,4.142943,7.884295,10626914258,265785222,143667,632030
A2,4096,8,4.096793,7.973238,10388902003,265282036,171433,624989
A2,65536,1,25.665261,20.402502,9533967957,616969206,267888,244878
A2,65536,2,25.390219,20.623744,9537650615,604914537,161076,242206
A2,65536,4,25.977841,20.156951,9524435096,637941769,162346,247790
A2,65536,8,26.463542,19.786457,9741243951,659081154,177998,252426
A3,64,1,0.073934,6.900194,8957101701,120299929,158805,722000
A3,64,2,0.073525,6.938303,9119431609,140853507,142489,717986
A3,64,4,0.075043,6.798127,9046767720,126135694,135814,732823
A3,64,8,0.072956,6.992860,9156909984,122292493,198384,712601
A3,512,1,0.550928,7.408945,9161911999,152872245,204318,672504
A3,512,2,0.550176,7.419372,9031364240,138346356,488501,671582
A3,512,4,0.549688,7.425917,8949858738,131988717,488853,671128
A3,512,8,0.574604,7.103302,8957523538,139968992,244198,701428
A3,4096,1,4.197738,7.781283,10384352549,276390471,96192,640439
A3,4096,2,4.144018,7.882016,10342509704,275583349,117806,632230
A3,4096,4,4.190031,7.795700,10465310882,254545397,114651,639258
A3,4096,8,4.147288,7.876166,10448676629,269934283,122230,632759
A3,65536,1,25.742121,20.341730,9322236913,631914778,118470,245560
A3,65536,2,26.145299,20.027394,9730420341,636221832,120279,249403
A3,65536,4,24.762332,21.146897,9482671721,633669184,341554,236273
A3,65536,8,25.864700,20.245112,9653968082,651784411,217369,246706
